User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
40089160,2021-01-26 11:00:31,SPOT,Fee,ADA,-11.38550000,""
40089160,2021-01-26 11:00:31,SPOT,Buy,ADA,11385.50000000,""
40089160,2021-01-26 11:00:31,SPOT,Sell,USDT,-3916.38429000,""
40089160,2021-01-26 11:29:34,SPOT,Sell,ADA,-865.00000000,""
40089160,2021-01-26 11:29:34,SPOT,Fee,USDT,-0.29419515,""
40089160,2021-01-26 11:29:34,SPOT,Buy,USDT,294.19515000,""
40089160,2021-01-26 11:29:34,SPOT,Fee,USDT,-0.12414015,""
40089160,2021-01-26 11:29:34,SPOT,Sell,ADA,-365.00000000,""
40089160,2021-01-26 11:29:34,SPOT,Buy,USDT,124.14015000,""
40089160,2021-01-26 11:30:26,SPOT,Fee,USDT,-0.99795076,""
40089160,2021-01-26 11:30:26,SPOT,Buy,USDT,2452.15908900,""
40089160,2021-01-26 11:30:26,SPOT,Fee,USDT,-2.45215909,""
40089160,2021-01-26 11:30:26,SPOT,Buy,USDT,997.95076200,""
40089160,2021-01-26 11:30:26,SPOT,Sell,ADA,-7209.90000000,""
40089160,2021-01-26 11:30:26,SPOT,Sell,ADA,-2934.20000000,""
40089160,2021-01-26 11:32:43,SPOT,Fee,THETA,-1.67660000,""
40089160,2021-01-26 11:32:43,SPOT,Buy,THETA,1676.60000000,""
40089160,2021-01-26 11:32:43,SPOT,Sell,USDT,-3864.56300000,""
40089160,2021-01-27 05:48:21,SPOT,Buy,USDT,2683.85418000,""
40089160,2021-01-27 05:48:21,SPOT,Sell,THETA,-1282.00000000,""
40089160,2021-01-27 05:48:21,SPOT,Sell,THETA,-292.20000000,""
40089160,2021-01-27 05:48:21,SPOT,Sell,THETA,-87.40000000,""
40089160,2021-01-27 05:48:21,SPOT,Fee,USDT,-0.61174700,""
40089160,2021-01-27 05:48:21,SPOT,Fee,USDT,-0.02784608,""
40089160,2021-01-27 05:48:21,SPOT,Buy,USDT,182.97015200,""
40089160,2021-01-27 05:48:21,SPOT,Fee,USDT,-0.18297015,""
40089160,2021-01-27 05:48:21,SPOT,Buy,USDT,611.74699800,""
